user_id,book_id,borrow_date,return_date,reservation_status,overdue_status,user_role,book_category
U1,B1,3/13/2023,3/29/2023,True,1,student,non-fiction
U2,B2,4/2/2022,4/7/2022,True,0,student,art
U3,B3,6/6/2023,6/8/2023,True,0,faculty,history
U4,B4,10/5/2022,10/24/2022,False,1,student,non-fiction
U5,B5,7/4/2020,7/9/2020,False,0,student,fiction
U6,B6,10/28/2023,11/15/2023,False,1,student,art
U7,B7,4/11/2023,4/30/2023,False,1,staff,science
U8,B8,7/21/2023,8/9/2023,False,1,staff,fiction
U9,B9,9/1/2022,9/16/2022,True,1,student,non-fiction
U10,B10,7/10/2023,7/16/2023,False,0,student,science
U11,B11,8/19/2022,9/5/2022,True,1,faculty,history
U12,B12,5/3/2022,5/10/2022,False,0,faculty,history
U13,B13,12/14/2022,12/19/2022,True,0,faculty,science
U14,B14,1/9/2022,1/14/2022,False,0,staff,non-fiction
U15,B15,6/10/2020,6/19/2020,False,1,staff,science
U16,B16,7/4/2022,7/21/2022,True,1,faculty,non-fiction
U17,B17,7/27/2020,8/8/2020,False,1,faculty,art
U18,B18,1/16/2024,1/18/2024,False,0,student,fiction
U19,B19,1/3/2025,1/19/2025,False,1,faculty,fiction
U20,B20,11/11/2023,11/27/2023,False,1,faculty,science
U21,B21,7/24/2023,7/27/2023,True,0,staff,history
U22,B22,9/10/2021,9/16/2021,True,0,student,art
U23,B23,10/25/2021,11/11/2021,True,1,faculty,non-fiction
U24,B24,2/27/2020,3/9/2020,True,1,faculty,non-fiction
U25,B25,3/28/2025,3/29/2025,False,0,student,art
U26,B26,8/3/2023,8/21/2023,True,1,faculty,science
U27,B27,7/6/2021,7/9/2021,False,0,student,science
U28,B28,10/6/2020,10/15/2020,True,1,faculty,fiction
U29,B29,8/5/2020,8/7/2020,False,0,staff,non-fiction
U30,B30,2/4/2024,2/18/2024,True,1,faculty,history
U31,B31,12/29/2024,12/30/2024,True,0,staff,fiction
U32,B32,7/3/2020,7/19/2020,True,1,staff,non-fiction
U33,B33,9/13/2024,9/25/2024,False,1,faculty,science
U34,B34,6/11/2021,6/26/2021,False,1,faculty,art
U35,B35,3/17/2022,4/5/2022,True,1,faculty,non-fiction
U36,B36,7/30/2021,8/6/2021,False,0,student,science
U37,B37,4/29/2020,5/18/2020,True,1,student,science
U38,B38,12/14/2021,12/20/2021,True,0,staff,non-fiction
U39,B39,11/2/2024,11/12/2024,True,1,student,art
U40,B40,11/24/2022,12/1/2022,True,0,faculty,art
U41,B41,1/19/2024,1/26/2024,True,0,student,fiction
U42,B42,1/29/2022,2/15/2022,False,1,staff,history
U43,B43,6/10/2020,6/11/2020,True,0,student,history
U44,B44,1/31/2020,2/12/2020,False,1,student,history
U45,B45,1/2/2025,1/12/2025,True,1,staff,non-fiction
U46,B46,12/27/2022,1/14/2023,True,1,student,history
U47,B47,1/27/2021,2/2/2021,False,0,student,art
U48,B48,4/12/2023,4/22/2023,False,1,faculty,non-fiction
U49,B49,5/31/2023,6/11/2023,False,1,staff,science
U50,B50,1/20/2020,2/2/2020,True,1,staff,science
U51,B51,7/1/2023,7/10/2023,True,1,faculty,fiction
U52,B52,12/4/2023,12/13/2023,False,1,student,art
U53,B53,3/14/2022,4/2/2022,True,1,student,art
U54,B54,3/28/2024,4/4/2024,True,0,staff,art
U55,B55,10/2/2020,10/9/2020,True,0,faculty,non-fiction
U56,B56,11/17/2022,12/7/2022,True,1,staff,science
U57,B57,1/4/2021,1/8/2021,True,0,staff,history
U58,B58,3/26/2022,4/14/2022,False,1,student,art
U59,B59,1/21/2024,2/8/2024,False,1,student,history
U60,B60,9/24/2024,10/7/2024,False,1,staff,fiction
U61,B61,7/27/2020,8/7/2020,False,1,faculty,fiction
U62,B62,6/24/2021,7/14/2021,False,1,staff,non-fiction
U63,B63,8/27/2022,9/3/2022,True,0,staff,fiction
U64,B64,6/15/2022,6/16/2022,True,0,staff,art
U65,B65,6/29/2022,6/30/2022,False,0,student,history
U66,B66,10/30/2023,11/4/2023,True,0,faculty,art
U67,B67,12/14/2020,12/18/2020,True,0,staff,history
U68,B68,6/8/2020,6/17/2020,False,1,staff,science
U69,B69,11/8/2024,11/21/2024,True,1,student,science
U70,B70,5/29/2023,6/10/2023,False,1,faculty,non-fiction
U71,B71,8/28/2022,9/12/2022,False,1,student,art
U72,B72,1/3/2025,1/21/2025,False,1,student,history
U73,B73,5/13/2021,5/27/2021,True,1,student,non-fiction
U74,B74,10/7/2023,10/12/2023,False,0,staff,art
U75,B75,10/27/2024,10/29/2024,True,0,faculty,science
U76,B76,5/9/2023,5/17/2023,True,1,student,art
U77,B77,3/4/2022,3/22/2022,False,1,student,non-fiction
U78,B78,1/29/2020,2/5/2020,False,0,student,non-fiction
U79,B79,11/11/2022,11/27/2022,True,1,student,fiction
U80,B80,1/19/2023,1/30/2023,False,1,staff,fiction
U81,B81,8/4/2023,8/6/2023,False,0,staff,science
U82,B82,1/11/2022,1/20/2022,False,1,faculty,non-fiction
U83,B83,4/20/2023,5/10/2023,True,1,faculty,art
U84,B84,11/12/2020,11/13/2020,True,0,faculty,art
U85,B85,11/6/2021,11/26/2021,False,1,student,history
U86,B86,7/2/2023,7/18/2023,False,1,student,science
U87,B87,1/31/2022,2/9/2022,False,1,staff,history
U88,B88,11/21/2022,12/5/2022,False,1,staff,fiction
U89,B89,8/9/2023,8/22/2023,True,1,student,science
U90,B90,7/11/2021,7/18/2021,False,0,student,fiction
U91,B91,2/28/2020,3/9/2020,True,1,student,history
U92,B92,6/12/2023,6/17/2023,True,0,faculty,fiction
U93,B93,9/4/2020,9/18/2020,False,1,staff,art
U94,B94,11/5/2024,11/6/2024,True,0,faculty,art
U95,B95,5/10/2021,5/15/2021,True,0,staff,science
U96,B96,9/13/2023,9/24/2023,True,1,faculty,fiction
U97,B97,9/30/2024,10/13/2024,True,1,staff,art
U98,B98,9/22/2024,9/30/2024,True,1,student,history
U99,B99,5/26/2020,5/29/2020,True,0,student,non-fiction
U100,B100,4/13/2024,5/2/2024,True,1,faculty,fiction
U101,B101,7/6/2021,7/16/2021,False,1,student,non-fiction
U102,B102,2/24/2021,2/26/2021,True,0,student,non-fiction
U103,B103,10/27/2023,11/16/2023,False,1,staff,history
U104,B104,1/4/2023,1/15/2023,True,1,faculty,non-fiction
U105,B105,9/7/2021,9/21/2021,True,1,student,non-fiction
U106,B106,2/24/2023,3/12/2023,True,1,staff,science
U107,B107,4/6/2024,4/15/2024,True,1,student,history
U108,B108,3/24/2023,4/1/2023,True,1,faculty,history
U109,B109,10/30/2020,11/17/2020,False,1,faculty,science
U110,B110,4/5/2024,4/17/2024,True,1,student,science
U111,B111,7/31/2022,8/13/2022,False,1,staff,fiction
U112,B112,5/10/2024,5/26/2024,False,1,student,history
U113,B113,9/14/2022,9/22/2022,False,1,faculty,history
U114,B114,2/22/2020,3/10/2020,False,1,student,history
U115,B115,9/18/2021,10/2/2021,False,1,faculty,history
U116,B116,10/15/2020,10/29/2020,True,1,faculty,science
U117,B117,7/16/2022,8/1/2022,False,1,faculty,history
U118,B118,3/10/2022,3/14/2022,True,0,student,art
U119,B119,4/7/2022,4/18/2022,True,1,staff,science
U120,B120,10/4/2023,10/7/2023,True,0,student,art
U121,B121,7/8/2024,7/9/2024,True,0,staff,art
U122,B122,2/4/2023,2/10/2023,False,0,student,history
U123,B123,10/21/2021,11/9/2021,True,1,staff,non-fiction
U124,B124,7/23/2021,8/2/2021,True,1,student,art
U125,B125,2/2/2022,2/10/2022,False,1,staff,fiction
U126,B126,8/13/2023,8/14/2023,False,0,faculty,art
U127,B127,6/26/2023,7/1/2023,False,0,faculty,fiction
U128,B128,7/17/2023,7/22/2023,True,0,staff,non-fiction
U129,B129,3/23/2021,4/3/2021,False,1,faculty,science
U130,B130,4/8/2021,4/18/2021,False,1,faculty,history
U131,B131,11/19/2024,11/21/2024,True,0,staff,fiction
U132,B132,12/11/2022,12/19/2022,False,1,staff,history
U133,B133,11/21/2024,12/9/2024,False,1,faculty,non-fiction
U134,B134,4/16/2022,4/24/2022,False,1,faculty,non-fiction
U135,B135,3/23/2025,4/12/2025,False,1,student,science
